1, 1, 773
2, 1, 538
3, 1, 403
4, 1, 358
5, 1, 337
6, 1, 352
7, 1, 347
8, 1, 358
1, 2, 240551
2, 2, 119161
3, 2, 83351
4, 2, 64116
5, 2, 87261
6, 2, 77240
7, 2, 73748
8, 2, 68094
1, 3, 2363626
2, 3, 1317016
3, 3, 1006272
4, 3, 845809
5, 3, 1075291
6, 3, 902793
7, 3, 870489
8, 3, 787470
1, 4, 80615870
2, 4, 43798306
3, 4, 34863110
4, 4, 29250079
5, 4, 32986982
6, 4, 32854753
7, 4, 30824442
8, 4, 29526626
1, 5, 196380014
2, 5, 121346791
3, 5, 84446610
4, 5, 70144002
5, 5, 76989856
6, 5, 75727564
7, 5, 73214381
8, 5, 71350277
