25.9232, 17.448, 0
36.0917, 35.8829, 1
39.3427, 97.0794, 765
41.6023, 90.5781, 50
33.5709, 39.7475, 4
39.2971, 101.575, 765
76.7762, 96.4143, 991
81.4889, 85.8481, 7
9.64078, 92.4457, 854
25.7769, 70.1553, 9
31.2379, 31.5999, 965
83.1398, 68.9163, 224
76.1709, 86.5181, 12
40.7911, 86.5161, 13
16.7511, 95.8905, 14
75.4022, 105.238, 138
85.307, 58.5566, 368
64.8181, 60.9116, 17
100.753, 88.8621, 318
78.8469, 51.4954, 282
36.433, 31.8794, 20
29.6308, 75.3247, 838
13.3205, 19.2994, 22
108.304, 31.6896, 23
27.6337, 52.2494, 101
101.34, 44.5972, 875
64.5562, 16.947, 110
83.5635, 42.3908, 27
71.8188, 37.8747, 28
94.5309, 9.46552, 29
46.9428, 10.4097, 30
97.5634, 71.1553, 31
15.6165, 56.9027, 182
80.8484, 12.21, 33
58.0637, 38.408, 34
69.8399, 69.0426, 35
18.5552, 13.1068, 342
65.9774, 74.334, 37
31.3953, 13.64, 383
31.4808, 14.7163, 383
35.7564, 62.1643, 976
66.237, 32.6453, 41
78.066, 96.541, 974
28.9556, 55.8704, 928
96.1226, 76.6287, 800
21.615, 89.4259, 406
-0.141141, -0.548056, 46
40.2951, 32.0171, 47
58.0882, 3.35044, 344
87.4952, 44.7832, 49
38.9193, 91.7067, 900
69.1072, 26.1284, 51
75.1352, 74.01, 142
87.8904, 43.7498, 49
30.9988, 57.699, 858
71.149, 25.6659, 51
97.5363, 53.5688, 866
67.3822, 11.4816, 57
69.2592, 6.76162, 58
94.2778, 11.3965, 29
21.8774, 62.4602, 575
12.2246, 72.6519, 61
73.984, 88.7204, 62
9.64676, 41.0922, 360
55.1414, 27.142, 64
33.4173, 95.9963, 65
10.882, 52.5097, 66
46.5406, 27.9045, 67
25.3791, 96.8962, 223
23.3618, 49.129, 69
50.405, 7.29837, 293
67.4191, 70.7777, 71
63.2462, 56.2479, 72
50.3931, 64.4585, 73
57.1513, 39.365, 74
35.0163, 49.1663, 76
34.0792, 47.6039, 76
74.3769, 6.08172, 77
32.9625, 0.502174, 78
18.9409, 44.7379, 79
14.2538, 69.9396, 80
55.3563, 49.2721, 394
77.0286, 39.9081, 156
79.9596, 73.2674, 83
73.5353, 53.5362, 165
23.6559, 13.4495, 85
33.2163, 76.0551, 86
7.86475, 8.36174, 87
22.7385, 59.301, 361
55.0755, 46.6161, 89
2.52922, 88.0855, 504
79.1188, 41.7541, 298
93.2106, 90.2328, 92
39.8344, 63.406, 93
57.4741, 97.3374, 94
60.8975, 86.097, 806
16.5258, 86.1379, 781
